module/file,purpose,owner,risk,test-coverage,status
# ==========================================
# INVENTAIRE PROJET NEXUS RÉUSSITE
# ==========================================

# === CONFIGURATION RACINE ===
README.md,Documentation projet principal,Développeur Principal,LOW,N/A,ACTIVE
start.sh,Script de démarrage du projet,Développeur Principal,MEDIUM,N/A,ACTIVE
docker-compose.yml,Configuration Docker orchestration,DevOps,MEDIUM,N/A,ACTIVE
project_checksums.txt,Checksums de sécurité des fichiers,Système,LOW,N/A,GENERATED
tree_report.txt,Rapport de structure du projet,Système,LOW,N/A,GENERATED

# === BACKEND PYTHON ===
backend/requirements.txt,Dépendances Python backend,Backend Team,HIGH,N/A,ACTIVE
backend/conftest.py,Configuration tests pytest,Backend Team,MEDIUM,HIGH,ACTIVE
backend/run_tests.sh,Script d'exécution des tests,Backend Team,LOW,N/A,ACTIVE
backend/Dockerfile,Container backend production,DevOps,HIGH,LOW,ACTIVE
backend/docker-entrypoint.sh,Point d'entrée Docker,DevOps,MEDIUM,LOW,ACTIVE
backend/.env,Variables d'environnement,Backend Team,CRITICAL,N/A,ACTIVE

# === BACKEND CORE ===
backend/src/main_production.py,Point d'entrée application Flask,Backend Team,CRITICAL,MEDIUM,ACTIVE
backend/src/config.py,Configuration application,Backend Team,HIGH,LOW,ACTIVE
backend/src/__init__.py,Initialisation package backend,Backend Team,LOW,N/A,ACTIVE
backend/src/database.py,Configuration base de données,Backend Team,HIGH,LOW,ACTIVE

# === MODÈLES DE DONNÉES ===
backend/src/models/__init__.py,Initialisation modèles,Backend Team,LOW,N/A,ACTIVE
backend/src/models/user.py,Modèle utilisateur,Backend Team,HIGH,MEDIUM,ACTIVE
backend/src/models/student.py,Modèle étudiant,Backend Team,HIGH,MEDIUM,ACTIVE
backend/src/models/formulas.py,Modèle formules mathématiques,Backend Team,MEDIUM,LOW,ACTIVE
backend/src/models/content_system.py,Système de gestion contenu,Backend Team,HIGH,LOW,ACTIVE

# === ROUTES API ===
backend/src/routes/__init__.py,Initialisation routes,Backend Team,LOW,N/A,ACTIVE
backend/src/routes/user.py,Routes gestion utilisateurs,Backend Team,HIGH,MEDIUM,ACTIVE
backend/src/routes/students.py,Routes gestion étudiants,Backend Team,HIGH,LOW,ACTIVE
backend/src/routes/documents.py,Routes gestion documents,Backend Team,MEDIUM,LOW,ACTIVE
backend/src/routes/openai_routes.py,Routes intégration OpenAI,Backend Team,HIGH,LOW,ACTIVE
backend/src/routes/aria.py,Routes assistant IA Aria,Backend Team,HIGH,LOW,ACTIVE
backend/src/routes/formulas.py,Routes formules mathématiques,Backend Team,MEDIUM,LOW,ACTIVE
backend/src/routes/video_conference_routes.py,Routes vidéoconférence,Backend Team,MEDIUM,LOW,ACTIVE
backend/src/routes/websocket_routes.py,Routes WebSocket temps réel,Backend Team,MEDIUM,LOW,ACTIVE

# === SERVICES MÉTIER ===
backend/src/services/__init__.py,Initialisation services,Backend Team,LOW,N/A,ACTIVE
backend/src/services/openai_integration.py,Service intégration OpenAI,Backend Team,HIGH,LOW,ACTIVE
backend/src/services/aria_ai.py,Service assistant IA Aria,Backend Team,HIGH,LOW,ACTIVE
backend/src/services/aria_ai_simple.py,Version simplifiée Aria,Backend Team,MEDIUM,UNKNOWN,EXPERIMENTAL
backend/src/services/content_engine.py,Moteur de contenu,Backend Team,HIGH,LOW,ACTIVE
backend/src/services/content_bank.py,Banque de contenus,Backend Team,HIGH,LOW,ACTIVE
backend/src/services/pdf_generator.py,Générateur de PDF,Backend Team,MEDIUM,LOW,ACTIVE
backend/src/services/document_database.py,Base documents,Backend Team,HIGH,LOW,ACTIVE
backend/src/services/video_conference.py,Service vidéoconférence,Backend Team,MEDIUM,LOW,ACTIVE
backend/src/services/websocket_service.py,Service WebSocket,Backend Team,MEDIUM,LOW,ACTIVE
backend/src/services/parent_dashboard.py,Tableau de bord parents,Backend Team,MEDIUM,LOW,ACTIVE

# === BASE DE DONNÉES ===
backend/instance/nexus_reussite.db,Base SQLite production,Backend Team,HIGH,N/A,ACTIVE
backend/src/database/app.db,Base SQLite développement,Backend Team,MEDIUM,N/A,ACTIVE
backend/src/database/init_db.py,Initialisation base données,Backend Team,HIGH,LOW,ACTIVE
backend/src/database/init_db_improved.py,Version améliorée init DB,Backend Team,HIGH,UNKNOWN,EXPERIMENTAL

# === TESTS BACKEND ===
backend/tests/conftest.py,Configuration tests backend,Backend Team,MEDIUM,HIGH,ACTIVE
backend/tests/test_main_api.py,Tests API principales,Backend Team,HIGH,HIGH,ACTIVE
backend/tests/integration/,Tests d'intégration,Backend Team,HIGH,MEDIUM,ACTIVE
backend/tests/unit/,Tests unitaires,Backend Team,HIGH,HIGH,ACTIVE

# === FRONTEND REACT ===
frontend/package.json,Dépendances Node.js frontend,Frontend Team,HIGH,N/A,ACTIVE
frontend/package-lock.json,Lock file dépendances npm,Frontend Team,LOW,N/A,ACTIVE
frontend/pnpm-lock.yaml,Lock file PNPM,Frontend Team,MEDIUM,N/A,DUPLICATE
frontend/vite.config.js,Configuration Vite développement,Frontend Team,MEDIUM,N/A,ACTIVE
frontend/vite.config.production.js,Configuration Vite production,Frontend Team,HIGH,N/A,ACTIVE
frontend/vitest.config.js,Configuration tests Vitest,Frontend Team,MEDIUM,N/A,ACTIVE
frontend/Dockerfile,Container frontend,DevOps,MEDIUM,N/A,ACTIVE
frontend/docker-entrypoint.sh,Point d'entrée Docker frontend,DevOps,LOW,N/A,ACTIVE
frontend/tailwind.config.js,Configuration Tailwind CSS,Frontend Team,LOW,N/A,ACTIVE
frontend/postcss.config.js,Configuration PostCSS,Frontend Team,LOW,N/A,ACTIVE
frontend/eslint.config.js,Configuration ESLint,Frontend Team,LOW,N/A,ACTIVE

# === CODE SOURCE FRONTEND ===
frontend/src/App.jsx,Composant principal React,Frontend Team,HIGH,MEDIUM,ACTIVE
frontend/src/main.jsx,Point d'entrée React,Frontend Team,HIGH,LOW,ACTIVE
frontend/src/App.css,Styles application principale,Frontend Team,MEDIUM,N/A,ACTIVE
frontend/src/index.css,Styles globaux,Frontend Team,MEDIUM,N/A,ACTIVE
frontend/src/setupTests.js,Configuration tests frontend,Frontend Team,MEDIUM,N/A,ACTIVE

# === COMPOSANTS REACT ===
frontend/src/components/,Composants réutilisables,Frontend Team,HIGH,LOW,ACTIVE
frontend/src/contexts/,Contextes React,Frontend Team,MEDIUM,LOW,ACTIVE
frontend/src/hooks/,Hooks personnalisés,Frontend Team,MEDIUM,LOW,ACTIVE
frontend/src/services/,Services frontend,Frontend Team,HIGH,LOW,ACTIVE
frontend/src/utils/,Utilitaires frontend,Frontend Team,MEDIUM,LOW,ACTIVE
frontend/src/data/,Données statiques,Frontend Team,LOW,N/A,ACTIVE
frontend/src/lib/,Bibliothèques personnalisées,Frontend Team,MEDIUM,LOW,ACTIVE
frontend/src/mocks/,Données de test mockées,Frontend Team,LOW,N/A,ACTIVE

# === ASSETS ET RESSOURCES ===
assets/images/,Images du projet,Designer,LOW,N/A,ACTIVE
assets/graphics/,Éléments graphiques,Designer,LOW,N/A,ACTIVE
assets/icons/,Icônes de l'interface,Designer,LOW,N/A,ACTIVE
assets/README_ASSETS.md,Documentation des assets,Designer,LOW,N/A,ACTIVE

# === DOCUMENTATION ===
docs/ARCHITECTURE_FINALE.md,Architecture du système,Tech Lead,HIGH,N/A,ACTIVE
docs/cahier des charges complet.md,Cahier des charges,Product Owner,HIGH,N/A,ACTIVE
docs/Guide_tests_unitaires.md,Guide des tests,Backend Team,MEDIUM,N/A,ACTIVE
docs/IMPLEMENTATION_TESTS_COMPLETE.md,Implémentation tests,Backend Team,HIGH,N/A,ACTIVE
docs/STRATEGIE_TESTS_UNITAIRES.md,Stratégie de test,Backend Team,HIGH,N/A,ACTIVE
docs/CORRECTIONS_BUILD_FINALES.md,Corrections de build,DevOps,MEDIUM,N/A,ACTIVE
docs/NETTOYAGE_COMPLET.md,Guide nettoyage,DevOps,LOW,N/A,ACTIVE
docs/SUCCESS_FINAL_COMPLETE.md,Guide de succès,Tech Lead,MEDIUM,N/A,ACTIVE

# === FICHIERS DE BUILD ===
frontend/dist/,Build de production frontend,Système,MEDIUM,N/A,GENERATED
backend/static/,Fichiers statiques backend,Système,LOW,N/A,GENERATED
backend/uploads/,Dossier uploads,Système,MEDIUM,N/A,ACTIVE

# === LOGS ET MONITORING ===
logs/,Fichiers de logs,Système,LOW,N/A,ACTIVE
backend/logs/,Logs backend,Système,LOW,N/A,ACTIVE

# === ENVIRONNEMENTS VIRTUELS ===
.venv/,Environnement virtuel racine,Système,LOW,N/A,ACTIVE
backend/.venv/,Environnement virtuel backend,Système,LOW,N/A,DUPLICATE

# === FICHIERS SYSTÈME ===
.gitignore,Configuration Git ignore,DevOps,LOW,N/A,ACTIVE
backend/pyrightconfig.json,Configuration Pyright,Backend Team,LOW,N/A,ACTIVE
backend/pytest.ini,Configuration pytest,Backend Team,MEDIUM,N/A,ACTIVE
frontend/components.json,Configuration composants UI,Frontend Team,LOW,N/A,ACTIVE
frontend/jsconfig.json,Configuration JavaScript,Frontend Team,LOW,N/A,ACTIVE

# === SCRIPTS DE DÉPLOIEMENT ===
backend/validate_architecture.py,Validation architecture,DevOps,MEDIUM,N/A,ACTIVE
backend/test_diagnostic.sh,Diagnostic système,DevOps,LOW,N/A,ACTIVE
backend/test_final.sh,Tests finaux,DevOps,MEDIUM,N/A,ACTIVE

# === FICHIERS EXPÉRIMENTAUX/MORTS ===
backend/fix_test_student_routes.py,Correctif temporaire,Backend Team,LOW,N/A,DEAD
backend/start_server.py,Ancien serveur de démarrage,Backend Team,LOW,N/A,DEAD
backend/Dockerfile.production.clean,Dockerfile de nettoyage,DevOps,LOW,N/A,EXPERIMENTAL
backend/Dockerfile.production.new,Nouveau Dockerfile,DevOps,MEDIUM,N/A,EXPERIMENTAL
backend/fix_dockerfile.sh,Script correctif Docker,DevOps,LOW,N/A,DEAD
backend/fix_dockerfile_final.sh,Script correctif final,DevOps,LOW,N/A,DEAD

# === RAPPORTS GÉNÉRÉS ===
CORRECTION_FINALE_TERMINEE.md,Rapport corrections finales,System,LOW,N/A,GENERATED
CORRECTIONS_FINALES.md,Corrections du projet,System,LOW,N/A,GENERATED
RAPPORT_BUILD.md,Rapport de build,System,LOW,N/A,GENERATED
APERCU_LANCE.md,Aperçu du lancement,System,LOW,N/A,GENERATED
